,Feature,Value
1567,Intracellular non-membrane-bounded organelle,0.0035589384481296733
2686,Reelin complex,0.003513534494753878
2541,"preribosome, large subunit precursor",0.0034591225072702603
2888,Sm-like protein family complex,0.003458700135388653
2688,Replication fork,0.003424104976920975
614,"Condensed chromosome, centromeric region",0.003423155243312548
2259,P-body,0.0032285078531355186
2866,Signal recognition particle,0.0032261425417496594
2862,Side of membrane,0.003195088543694499
1819,Membrane,0.003070757739791326
2175,Nuclear speck,0.003054943894750268
2542,"preribosome, small subunit precursor",0.0030340290242317066
2583,Proteasome regulatory particle,0.00298962089859981
2948,Spindle midzone,0.0029875634229216633
410,Cell surface,0.0029807286352064636
2448,Platelet alpha granule,0.0029661093371198257
1423,IgM immunoglobulin complex,0.002841073331068383
2778,RZZ complex,0.0027687395532669137
672,CURI complex,0.0027449593439287595
1026,Exoribonuclease complex,0.0027217556325595357
2607,Protein kinase CK2 complex,0.002707639687872796
2547,Presynaptic active zone cytoplasmic component,0.002698602063824503
1484,Integral component of plasma membrane,0.002660720140317651
1614,Inward rectifier potassium channel complex,0.0026429371174324645
2329,Phagocytic vesicle,0.002641321426491249
428,cellular_component,0.0026035651938017923
1042,Extracellular non-membrane-bounded organelle,0.00258162106918848
613,Condensed chromosome,0.0025446539436880695
1541,interleukin-23 complex,0.0025043422206870608
316,Box H/ACA RNP complex,0.0025005868332872356
1600,Intrinsic component of plasma membrane,0.0024534445304208617
1588,Intrinsic component of membrane,0.0024519090072539886
446,Centrosome,0.0024346105519132996
1881,Microvillus,0.0024275344924898305
2753,RNAi effector complex,0.002420483019759073
764,Cytosolic small ribosomal subunit,0.0024024950588184425
717,Cytoplasm,0.002324809320541038
453,Chaperone complex,0.00229478044517555
2289,penta-snRNP complex,0.002280812238297886
1835,Metaphase plate,0.0022587948731759093
1870,Microtubule,0.0021642664460999068
3116,TRAMP complex,0.002140997351454394
1985,mRNA cleavage and polyadenylation specificity factor complex,0.002140145528992798
1445,Inhibitory synapse,0.002134331902199413
848,DNA replication preinitiation complex,0.0021023242863096145
404,Cell periphery,0.0020812034288294388
1112,Fibrinogen complex,0.0020559844766340186
3012,SUMO ligase complex,0.0020526255981290777
28,Acetyltransferase complex,0.0020381456539406897
952,Endoribonuclease complex,0.002028318620377347
417,cell-cell contact zone,0.002022852808802764
401,Cell junction,0.0020224715739752385
476,Chloroplast ribosome,0.0019922501739715235
1762,MAD1 complex,0.0019813771381897534
2487,Polysomal ribosome,0.0019667221453735536
1926,Mitochondrial permeability transition pore complex,0.0019493196208199876
184,Aryl hydrocarbon receptor complex,0.0019413362492438793
1044,Extracellular region,0.0019411479299413894
1824,Membrane protein complex,0.0019183579154360712
2944,Spindle,0.0019142746445660057
341,CAF-1 complex,0.001886229359170649
510,"chromosome, centromeric region",0.0018757090865016907
2723,Ribonuclease P complex,0.001866104616876857
3060,t-UTP complex,0.0018337893991714526
1519,Integrin complex,0.0018332731237119893
1647,Kinetochore,0.0018253416438104462
886,dystrophin-associated glycoprotein complex,0.001809270057688979
1262,GO:0044424,0.0018055246081410865
1543,interleukin-27 complex,0.0018037797708943784
225,Axon terminus,0.0017913135794645346
3129,"Transferase complex, transferring phosphorus-containing groups",0.0017604972174931535
3255,VEGF-A complex,0.001753600431532673
3200,U2 snRNP,0.0017363522569060338
2543,Prespliceosome,0.001714670444984778
707,cyclin/CDK positive transcription elongation factor complex,0.0016825754977508533
3037,Synaptic cleft,0.0016754345418851678
1987,mRNA cleavage stimulating factor complex,0.0016692903956053193
2874,single-stranded DNA-binding protein complex,0.0016588587279419294
2409,Plasma membrane protein complex,0.0016583435775838528
3112,TORC1 complex,0.0016570383013071485
631,COP9 signalosome,0.0016545295300621665
3078,Tenascin complex,0.0016475830592776323
2958,Spliceosomal snRNP complex,0.001645062155398574
277,Basement membrane,0.001617407231610613
1473,Integral component of membrane,0.001615897287656157
2891,Small ribosomal subunit,0.0016129730068026762
3075,Telomere cap complex,0.0016128592850047643
2179,Nucleocytoplasmic transport complex,0.0015981618588622548
2533,pre-primosome complex,0.0015961821747689576
2608,Protein kinase complex,0.0015852132382808903
1616,Ion channel complex,0.0015681807326071748
390,Cdc73/Paf1 complex,0.0015449834337872132
845,DNA replication factor A complex,0.0015397016067928444
1648,Kinetochore microtubule,0.0015389491000850422
498,Chromatin silencing complex,0.0015261749809694996
1152,GABA receptor complex,0.0015116568370043754
3222,Ubiquitin activating enzyme complex,0.0014828437210175076
157,Apical complex,0.0014747363669546246
616,Condensin complex,0.001470359881413361
368,Catalytic step 1 spliceosome,0.0014592067783738931
19,90S preribosome,0.0014480165113497467
2177,Nuclear telomere cap complex,0.0014460221693301646
118,amyloid-beta complex,0.0014409594566132597
2601,Protein complex involved in cell adhesion,0.0014381907800678536
165,Apical part of cell,0.0014160545251905127
706,cyclin-dependent protein kinase holoenzyme complex,0.0013956934038521827
1683,Las1 complex,0.0013918856892041348
1820,Membrane attack complex,0.0013867895483239154
3223,Ubiquitin conjugating enzyme complex,0.001376001452475165
1546,interleukin-35 complex,0.0013627564666270683
315,Box C/D RNP complex,0.001326879401154106
2200,nucleotide-excision repair complex,0.001318545957456233
107,aminoacyl-tRNA synthetase multienzyme complex,0.0012964881005467885
2897,SMN-Sm protein complex,0.0012962770903266916
2623,protein-lipid complex,0.0012903568538450386
3013,SUMO-targeted ubiquitin ligase complex,0.0012858308119411323
1096,Fc-epsilon receptor I complex,0.0012673304313504954
2116,Nonhomologous end joining complex,0.0012662591049439444
2190,Nucleomorph,0.001262452255074587
2769,Rpd3S/Clr6-CII complex,0.0012039989026623899
1533,interleukin-12 complex,0.0012039961244340583
2051,N-terminal protein acetyltransferase complex,0.001201060994489163
1876,Microtubule organizing center,0.0011784033323940719
1952,Mitotic cohesin complex,0.001177469033618156
2915,Somatodendritic compartment,0.001145995382472947
140,Anchoring junction,0.0011448962050644165
2579,Proteasome complex,0.0011440937581956212
2726,ribonucleoside-diphosphate reductase complex,0.0011363715580588317
418,cell-cell junction,0.0011142264648983647
178,Apoptotic body,0.0011098346513193245
933,Endopeptidase complex,0.001105719011307919
1514,Integrin alphav-beta3 complex,0.001103766446759201
3166,Troponin complex,0.0010941202429280321
972,Epsilon DNA polymerase complex,0.0010913329054873446
1863,Micronucleus,0.0010869113280014126
3095,Thrombospondin complex,0.0010840943903199346
2292,Peptidase inhibitor complex,0.0010765931366779956
2438,Plastid ribosome,0.0010645928994958023
434,CENP-A containing nucleosome,0.001052710138469657
2869,"Signal recognition particle, endoplasmic reticulum targeting",0.0010521445898311267
1965,MLL1 complex,0.0010516179830097113
1045,Extracellular space,0.0010340992042648922
2946,Spindle matrix,0.001026225717001952
1920,Mitochondrial membrane,0.0010254600613648858
1374,Histone acetyltransferase complex,0.0010252576702253395
3025,SWI/SNF superfamily-type complex,0.0010206226223617154
2076,Neuron projection,0.001016708897096287
2074,Neuromuscular junction,0.0010006548509175134
1571,Intracellular vesicle,0.0009905643564478309
855,DNA-directed RNA polymerase complex,0.0009831898664575784
635,COPI-coated vesicle membrane,0.0009747108986936722
2787,Sarcoglycan complex,0.0009487234023797582
2822,Secretory vesicle,0.0009433397472297937
781,Dendrite,0.0009409591955990525
1341,H4 histone acetyltransferase complex,0.0009409238309878773
2163,Nuclear pore linkers,0.0009339479171597068
2065,NELF complex,0.0009293677634808166
2250,Outer kinetochore,0.000928695580829457
2347,"Phosphatidylinositol 3-kinase complex, class III",0.0009171313181272742
2725,Ribonucleoprotein granule,0.0009139678085004459
954,Endosome,0.000912973347259904
3057,T cell receptor complex,0.0009010018102332977
56,Activin A complex,0.0008888847427301672
1570,Intracellular protein-containing complex,0.0008840775671168971
2181,Nucleolar chromatin,0.0008775987621829589
367,Catalytic complex,0.0008766525125387919
3260,very-low-density lipoprotein particle,0.000871013405891717
2110,Noc4p-Nop14p complex,0.000870091547837371
2165,Nuclear pore outer ring,0.0008514576889034016
1922,Mitochondrial nucleoid,0.0008501010729186401
3101,Tight junction,0.0008480124838965266
3199,U12-type spliceosomal complex,0.000844392329733005
3002,Succinate dehydrogenase complex,0.0008353478273815065
574,Coated vesicle membrane,0.0008231747771852598
2835,Septin cytoskeleton,0.0008217109369221757
1673,laminin-5 complex,0.0008068934176245749
1263,GO:0044444,0.0008056678881556379
2059,NatB complex,0.0008004730511386883
603,collagen-containing extracellular matrix,0.0007995705425729068
1615,Inward rectifying potassium channel,0.0007982516444267777
2558,Presynaptic membrane,0.0007922018528611821
775,Decoy receptor complex,0.0007871895823482202
671,cullin-RING ubiquitin ligase complex,0.0007864622737733416
416,Cell wall-bounded periplasmic space,0.0007843803372715363
1432,Immunoglobulin complex,0.0007766840884664999
59,Activin complex,0.0007599455624341919
611,Complex of collagen trimers,0.0007499294235407711
2947,Spindle microtubule,0.000745804410983036
1524,Interchromatin granule,0.0007364638751169737
490,Cholinergic synapse,0.0007359349386950111
1053,Extrinsic component of cytoplasmic side of plasma membrane,0.0007343983566971427
2741,RNA cap binding complex,0.0007294087856163628
1216,Glycocalyx,0.0007289289871661096
2577,Proteasome accessory complex,0.0007233280915177872
1587,Intrinsic component of Golgi membrane,0.0007231955561071832
506,Chromosomal region,0.0007182539098207953
3278,Weibel-Palade body,0.0007154660384143549
827,Division septum,0.0007144383829854591
2237,Origin recognition complex,0.0007142052069075642
1090,Fatty acid beta-oxidation multienzyme complex,0.0007103518969575911
1294,Golgi cis cisterna,0.0006974085545881353
1459,insulin-like growth factor binding protein complex,0.0006949895447930126
1853,MHC protein complex,0.0006949623443789783
3040,Synaptic vesicle,0.0006949231307059448
625,Contractile fiber,0.000686248351203515
2114,non-membrane-bounded organelle,0.0006775984826976292
2256,Oxidoreductase complex,0.0006766071855067558
219,Axolemma,0.0006757163824068728
314,Bounding membrane of organelle,0.0006738596882752341
1383,Holliday junction resolvase complex,0.0006587314946716507
2299,Pericentric heterochromatin,0.0006585937993034146
1354,Hemidesmosome,0.0006523728495524585
2106,NMS complex,0.0006506690520231604
3024,SWI/SNF complex,0.0006493609809923521
3205,U2-type precatalytic spliceosome,0.0006480377956712501
1978,MPF complex,0.0006466482200573125
2837,Septin ring,0.000644779720455916
1202,glutamate-cysteine ligase complex,0.0006384219071847918
864,dolichol-phosphate-mannose synthase complex,0.0006341951685483127
1118,Filamentous actin,0.0006294023792553228
240,B-WICH complex,0.0006291692599246521
568,CMG complex,0.0006261343501542908
380,CBF3 complex,0.0006259135460738542
1733,Lst4-Lst7 complex,0.000620775753445939
462,Chloride channel complex,0.0006205417545673908
220,Axon,0.0006170848206738908
2919,Spanning component of plasma membrane,0.0006096365149178595
2875,Site of DNA damage,0.0006090517231553656
2743,RNA nuclear export complex,0.000607104774244997
1627,Isoamylase complex,0.0006027815002084924
209,ATR-ATRIP complex,0.0006023625683922215
318,Box H/ACA snoRNP complex,0.0005904694376953518
2415,Plasma membrane respirasome,0.0005904658197564901
853,DNA-dependent protein kinase complex,0.0005798554994722331
1825,Membrane raft,0.0005797065805518346
1559,Interstitial matrix,0.0005780731207637273
2103,NLRP3 inflammasome complex,0.0005769105345585527
2625,Proteinoplast,0.0005721507291774975
832,DNA helicase complex,0.0005688003435957772
2573,Prospore contractile ring,0.0005621980060619281
793,Dendritic shaft,0.0005613509488265692
2232,Organelle membrane,0.0005605051369249748
1433,"Immunoglobulin complex, circulating",0.0005576764078366607
2538,Prefoldin complex,0.000556723375501379
609,Complement component C1q complex,0.0005557923125515038
1434,Immunological synapse,0.0005539648643714877
2840,Serine protease inhibitor complex,0.000550181344765113
2892,Small ribosomal subunit processing complex,0.0005472765779179705
1453,Ino80 complex,0.0005466621400064332
1302,Golgi stack,0.0005457476059042483
42,Actin cytoskeleton,0.0005456335005278126
1438,Inclusion body,0.0005420979145268649
3246,Vacuole,0.0005414100415517135
2262,Pairing center,0.0005346491188385961
3165,tRNA-splicing ligase complex,0.000534023424070242
1856,Microbody,0.0005336913532815314
2894,SMC loading complex,0.0005267344285915646
396,Cell cortex region,0.0005267186385264582
3130,Transforming growth factor beta activated kinase 1 complex,0.0005234421790991377
2540,Preribosome,0.0005211996273330127
3038,Synaptic membrane,0.0005210636422593404
2650,PTW/PP1 phosphatase complex,0.0005167104801357314
1678,laminin-8 complex,0.000512640630341691
1659,Lamellipodium,0.0005110513807796
1923,Mitochondrial outer membrane,0.0005019463156237981
1913,Mitochondrial intermembrane space,0.0005008780628469391
480,Chloroplast stroma,0.0004969349197939724
1840,methionine-importing ABC transporter complex,0.0004861925661717694
912,Elastic fiber,0.00048221199982812044
271,Basal part of cell,0.0004806571929056036
1356,Hemoglobin complex,0.00047814076601558104
3144,Transport vesicle membrane,0.00047183946594903483
2326,PHA granule,0.0004700267682881366
713,Cytolytic granule,0.0004647990300841641
1451,Inner mitochondrial membrane protein complex,0.00046433232672511764
2767,Rpd3L complex,0.0004622966348517849
3018,Supramolecular complex,0.0004602482271231751
1549,interleukin-6 receptor complex,0.0004560686003569133
435,CENP-A recruiting complex,0.0004550649038088909
2225,Organellar ribosome,0.00045433155416727694
680,Cyanelle,0.0004528929269741404
297,Bicellular tight junction,0.00044637322126331395
1012,Eukaryotic translation initiation factor 4F complex,0.00043928263269643294
1866,Microprocessor complex,0.0004362610916360563
1007,Eukaryotic translation initiation factor 2 complex,0.00043498656907730134
869,dolichyl-phosphate-mannose-protein mannosyltransferase Pmt5p-Pm,0.0004339115708291793
2129,NuA4 histone acetyltransferase complex,0.0004285092145631153
300,Bilobe structure,0.0004280113595405485
2146,Nuclear inner membrane,0.00041857796578897614
1871,Microtubule associated complex,0.0004175475755338122
1275,GO:0090575,0.00041033297787436754
1360,Heterochromatin domain,0.00040913972225735764
1099,Female germ cell nucleus,0.0004082380907511043
2590,Protein body,0.00040698216592989256
2205,"nucleotide-excision repair, preincision complex",0.00040232188777926294
3184,Type III intermediate filament,0.0004015268264478114
1794,MCM core complex,0.0004007350756261386
192,ASTRA complex,0.0003986576030447574
1909,Mitochondrial inner membrane,0.0003973942363153704
214,Autophagosome,0.0003941366529410778
2979,Stereocilium,0.0003932994077547582
3085,Tertiary granule,0.00038728233351789274
2528,Potassium ion-transporting ATPase complex,0.0003868254410670463
1956,Mitotic spindle assembly checkpoint MAD1-MAD2 complex,0.00038493853515710546
2744,RNA polymerase complex,0.0003813321895799408
750,Cytoplasmic vesicle membrane,0.00038017403626114583
1109,Fibrillar center,0.00037586336503442217
2124,Nrd1 complex,0.0003742368955188358
1306,Golgi transport complex,0.00037202966316732353
1376,Histone H3-containing nucleosome,0.00037096005587349
837,DNA polymerase complex,0.0003687784105006064
1984,mRNA cap methyltransferase complex,0.00036703396336083897
2265,PAN complex,0.00035892896344217094
2780,S-layer,0.00035350013289512386
1412,IgA immunoglobulin complex,0.0003521295445933895
2889,SMAD protein complex,0.000350680959499105
344,Calcineurin complex,0.0003469918045219543
2785,SAGA-type complex,0.0003443410366774267
2341,Phosphatase complex,0.00034032804548998346
808,Dentate gyrus mossy fiber,0.0003400469070484329
2473,Pole plasm,0.0003398695825469333
1768,Main axon,0.0003387016190169162
3015,Super elongation complex,0.0003357867042803301
1319,GroEL-GroES complex,0.0003339938963263508
2655,Pyrenoid,0.0003301952718523735
1162,gamma-tubulin complex,0.0003288724265506033
3218,U7 snRNP,0.0003231215950057687
1015,Excitatory synapse,0.000322103233729286
1047,Extrachromosomal circular DNA,0.0003194497190844555
2648,PTEN phosphatase complex,0.00031263140469983247
2781,S100A8 complex,0.00030045834563395085
1344,HAUS complex,0.0003002582091467666
1386,HOPS complex,0.0002973948924871015
2811,Sec61 translocon complex,0.0002966688622627433
3055,Syntrophin complex,0.00028843973086795414
1757,Macronucleus,0.0002834202476566291
1205,Glutamatergic synapse,0.0002730706568647914
3245,Vacuolar transporter chaperone complex,0.0002722309093842079
2458,platelet-derived growth factor complex,0.0002720668105669968
1789,Matrilin complex,0.0002645047251120471
2673,Ragulator complex,0.00026298314742058095
1945,Mitochondrion,0.0002619092292202975
2691,Replisome,0.00025118181422295556
2090,Neurotransmitter receptor complex,0.0002496414188374114
1039,Extracellular matrix,0.0002402985168742541
2217,Omega speckle,0.0
2406,Plasma membrane bounded cell projection cytoplasm,0.0
2218,Omegasome,0.0
2365,Photoreceptor inner segment membrane,0.0
2366,Photoreceptor outer segment,0.0
2219,Omegasome membrane,0.0
2372,Photosystem I,0.0
2216,Oligosaccharyltransferase III complex,0.0
2204,nucleotide-excision repair factor 4 complex,0.0
2368,Photoreceptor proximal connecting cilium,0.0
2211,Ocelloid,0.0
2212,Old cell pole,0.0
2210,NVT complex,0.0
2410,Plasma membrane proton-transporting ATP synthase complex,0.0
2203,nucleotide-excision repair factor 3 complex,0.0
2369,Photoreceptor ribbon synapse,0.0
2209,NURF complex,0.0
2408,Plasma membrane of cell tip,0.0
2171,Nuclear replisome,0.0
2367,Photoreceptor outer segment membrane,0.0
2208,nucleus-vacuole junction,0.0
2207,Nucleus leading edge,0.0
2213,Old mitotic spindle pole body,0.0
2411,"Plasma membrane proton-transporting ATP synthase complex, catal",0.0
2412,Plasma membrane proton-transporting V-type ATPase complex,0.0
2407,Plasma membrane light-harvesting complex,0.0
2371,Photosystem,0.0
2214,Oligosaccharyltransferase complex,0.0
2215,Oligosaccharyltransferase I complex,0.0
2370,Photosynthetic membrane,0.0
2404,Plasma membrane,0.0
2403,Plasma lipoprotein particle,0.0
2184,Nucleolar ribonuclease P complex,0.0
2384,piccolo-bassoon transport vesicle,0.0
2183,Nucleolar preribosome,0.0
2385,Pick body,0.0
2402,plant-type vacuole membrane,0.0
2182,Nucleolar exosome (RNase complex),0.0
2401,plant-type vacuole,0.0
2386,pICln-Sm protein complex,0.0
2180,Nucleoid,0.0
2400,plant-type cell wall,0.0
2220,oncostatin-M receptor complex,0.0
2387,Pigment granule,0.0
2388,Pigment granule membrane,0.0
2389,Pilus,0.0
2398,PKM2 pyruvate kinase complex,0.0
2390,Pilus shaft,0.0
2391,Pilus tip,0.0
2397,PKM2 protein kinase complex,0.0
2176,Nuclear stress granule,0.0
2392,Pinceau fiber,0.0
2393,Pinosome,0.0
2394,piP-body,0.0
2395,Pirellulosome,0.0
2396,Pituitary gonadotropin complex,0.0
2399,Plant cell papilla,0.0
2202,nucleotide-excision repair factor 2 complex,0.0
2373,Photosystem I antenna complex,0.0
2201,nucleotide-excision repair factor 1 complex,0.0
2374,Photosystem I reaction center,0.0
2199,nucleotide-activated protein kinase complex,0.0
2198,Nucleosome disassembly/reassembly complex,0.0
2197,Nucleosome,0.0
2196,Nucleosomal methylation activator complex,0.0
2195,Nucleoplasmic THO complex,0.0
2194,Nucleoplasmic side of nuclear pore,0.0
2193,Nucleoplasmic reticulum,0.0
2375,Photosystem II,0.0
2376,Photosystem II antenna complex,0.0
2174,Nuclear SCF ubiquitin ligase complex,0.0
2377,Photosystem II oxygen evolving complex,0.0
2378,Photosystem II reaction center,0.0
2189,nucleolus-like body,0.0
2379,Phragmoplast,0.0
2188,nucleolus-associated heterochromatin,0.0
2380,Phragmosome,0.0
2381,Phycobilisome,0.0
2187,Nucleolus organizer region,0.0
2382,pi-body,0.0
2405,Plasma membrane bounded cell projection,0.0
2173,Nuclear RNA-directed RNA polymerase complex,0.0
2383,Piccolo NuA4 histone acetyltransferase complex,0.0
2185,Nucleolar ring,0.0
2192,Nucleoplasmic periphery of the nuclear pore complex,0.0
2272,Paranodal junction,0.0
2308,Perinuclear region of cytoplasm,0.0
2271,Parallel fiber to Purkinje cell synapse,0.0
2309,Perinuclear theca,0.0
2270,Parallel fiber,0.0
2310,Perinucleolar chromocenter,0.0
2269,Parallel actin filament bundle,0.0
2311,Perinucleolar compartment,0.0
2268,Paraflagellar rod,0.0
2267,Paraferritin complex,0.0
2266,PAR polarity complex,0.0
2312,Peripheral region of growth cone,0.0
2313,Periplasmic flagellum,0.0
2314,Periplasmic side of cell outer membrane,0.0
2413,Plasma membrane raft,0.0
2264,"PAM complex, Tim23 associated import motor",0.0
2263,Palmitoyltransferase complex,0.0
2316,Periplasmic space,0.0
2261,P-TEFb-cap methyltransferase complex,0.0
2317,Perisynaptic extracellular matrix,0.0
2318,Perisynaptic space,0.0
2260,P-TEFb complex,0.0
2319,Perivitelline space,0.0
2320,Peroxisomal importomer complex,0.0
2321,Peroxisomal matrix,0.0
2258,P granule,0.0
2257,Oxoglutarate dehydrogenase complex,0.0
2322,Peroxisomal membrane,0.0
2323,Peroxisome,0.0
2324,PET complex,0.0
2315,Periplasmic side of plasma membrane,0.0
2293,Perforant pathway to dendrate granule cell synapse,0.0
2294,Perforation plate,0.0
2291,Peptidase complex,0.0
2295,peri-centrosomal recycling endosome,0.0
2296,Peribacteroid membrane,0.0
2290,Pentameric IgM immunoglobulin complex,0.0
2297,Pericanalicular vesicle,0.0
2288,Pellicular membrane,0.0
2287,Pellicle,0.0
2286,Peg and socket contact,0.0
2298,Pericellular basket,0.0
2285,Pectic matrix,0.0
2300,Pericentriolar material,0.0
2284,PeBoW complex,0.0
2301,Perichromatin fibrils,0.0
2273,Paranode region of axon,0.0
2282,PCSK9-LDLR complex,0.0
2302,Periciliary membrane compartment,0.0
2303,Perikaryon,0.0
2281,PCSK9-AnxA2 complex,0.0
2304,Perineuronal net,0.0
2280,PCNA-p21 complex,0.0
2279,PCNA complex,0.0
2278,PcG protein complex,0.0
2277,PAT complex,0.0
2305,Perinuclear endoplasmic reticulum,0.0
2276,PAS complex,0.0
2275,Parkin-FBXW7-Cul1 ubiquitin ligase complex,0.0
2306,Perinuclear endoplasmic reticulum lumen,0.0
2274,Paraspeckles,0.0
2307,Perinuclear endoplasmic reticulum membrane,0.0
2283,PDX1-PBX1b-MRG1 complex,0.0
2340,Pho85-Pho80 CDK-cyclin complex,0.0
2342,Phosphatidylinositol 3-kinase complex,0.0
2343,"Phosphatidylinositol 3-kinase complex, class I",0.0
2344,"Phosphatidylinositol 3-kinase complex, class IA",0.0
2233,Organelle membrane contact site,0.0
2345,"Phosphatidylinositol 3-kinase complex, class IB",0.0
2346,"Phosphatidylinositol 3-kinase complex, class II",0.0
2348,"Phosphatidylinositol 3-kinase complex, class III, type I",0.0
2230,Organelle inner membrane,0.0
2349,"Phosphatidylinositol 3-kinase complex, class III, type II",0.0
2350,Phosphatidylinositol phosphate phosphatase complex,0.0
2229,Organelle envelope lumen,0.0
2351,Phosphatidylinositol transporter complex,0.0
2352,phosphoenolpyruvate-dependent sugar phosphotransferase complex,0.0
2353,Phospholamban complex,0.0
2325,Pexophagosome,0.0
2355,Phosphomannomutase complex,0.0
2356,Phosphopantothenoylcysteine decarboxylase complex,0.0
2226,Organellar small ribosomal subunit,0.0
2224,Organellar large ribosomal subunit,0.0
2357,Phosphopyruvate hydratase complex,0.0
2358,Phosphoribosylaminoimidazole carboxylase complex,0.0
2359,Phosphorylase kinase complex,0.0
2360,Photoreceptor cell cilium,0.0
2361,Photoreceptor connecting cilium,0.0
2223,Organellar chromatophore,0.0
2222,Oral apparatus,0.0
2221,Ooplasm,0.0
2362,Photoreceptor disc membrane,0.0
2363,Photoreceptor distal connecting cilium,0.0
2364,Photoreceptor inner segment,0.0
2354,phospholipid-translocating ATPase complex,0.0
2327,Phagocytic cup,0.0
2255,Outer mucus layer,0.0
2254,Outer mitochondrial membrane protein complex,0.0
2253,Outer membrane-bounded periplasmic space,0.0
2252,Outer membrane protein complex,0.0
2251,Outer membrane,0.0
2249,Outer endospore membrane,0.0
2248,Outer dynein arm docking complex,0.0
2247,Outer dynein arm,0.0
2246,Outer dense plaque of desmosome,0.0
2328,Phagocytic cup base,0.0
2245,Outer dense fiber,0.0
2330,Phagocytic vesicle lumen,0.0
2244,Outer acrosomal membrane,0.0
2331,Phagocytic vesicle membrane,0.0
2339,Phenyloplast,0.0
2242,Other organism cell membrane,0.0
2332,Phagolysosome,0.0
2333,Phagolysosome membrane,0.0
2241,Ost-alpha/Ost-beta complex,0.0
2240,Osmiophilic body,0.0
2334,Phagophore,0.0
2239,Orthogonal array,0.0
2238,Ornithine carbamoyltransferase complex,0.0
