gene,label
SERF2,NE
JAG2,NE
EXO1,NE
EIF2B2,E
DNAJB6,NE
NSFL1C,NE
ZMYM2,NE
TSN,NE
RAD17,E
PDCL3,NE
TEAD3,NE
RPL11,E
TXNDC9,NE
ARID4B,NE
DNMT3B,NE
ZNF501,NE
ANAPC10,E
CPSF2,E
RPL18A,E
ZNF629,NE
NLE1,E
FKBP6,NE
WDR46,E
ATXN2,NE
LRR1,E
CHAF1B,E
H2BC13,NE
MPND,NE
BOLA2,NE
ZNF260,NE
CCT7,E
RAD23A,NE
TUBG1,E
ISG15,NE
MTG2,E
PYCR1,NE
LMO1,NE
RBM4,NE
TUFM,E
H2BC12,NE
INO80B,NE
LARP1,NE
HSPA1B,NE
CDK16,NE
H2AJ,NE
PGAM1,E
PRMT3,NE
KIF20B,NE
DDX49,E
ZNF763,NE
GNL1,NE
YWHAB,NE
PIF1,NE
P4HB,NE
EIF3G,E
UBE3C,NE
ANKS6,NE
SAP30BP,E
EEF1G,E
TIPIN,NE
SPIN1,NE
MYOD1,NE
ROCK1,NE
WNT11,NE
SPAG6,NE
GABPB1,E
PHF13,NE
SNRPE,E
RPL34,E
MYH11,NE
RIOK1,E
TARS3,NE
ZC3H6,NE
JUNB,NE
AURKC,NE
RHOA,E
HSPE1,E
RAB12,NE
NEDD4,NE
BBS10,NE
ATIC,E
SEC61A1,E
PSMD9,NE
ARL17A,NE
ATAD2B,NE
H2AC25,NE
TOP3B,NE
HP1BP3,NE
UBE2W,NE
PTBP2,NE
TBL1X,NE
FKBP1A,NE
PSIP1,NE
JUN,NE
NUBP1,E
CETN3,NE
KIF7,NE
PARP1,NE
KAT2B,NE
BTRC,NE
RNF146,NE
CLPTM1L,NE
PSMD4,E
H3C4,NE
ESPL1,E
HSPA4L,NE
DONSON,E
MRPS16,E
SRPK1,NE
FMR1,NE
KLF6,NE
TBL1XR1,NE
ASH1L,NE
NUP210,NE
EIF4A1,E
TIMM23,E
HMG20B,NE
RASSF1,NE
TNKS,NE
CFL1,E
LRRC1,NE
H2AC6,NE
TP53BP2,NE
DHODH,E
CDCA2,NE
COPS3,E
MRPS2,E
SDHB,E
XRCC5,E
MYC,E
DTL,E
KIF2A,NE
GFER,E
CDK3,NE
CCNA1,NE
ATAD3B,NE
PSMD5,NE
GNB1L,E
TERT,NE
DUSP12,NE
MTIF3,NE
EEF1A1,E
PHC3,NE
PSMD7,E
NSD3,NE
TEAD4,NE
IFT122,NE
EIF6,E
ZNF746,NE
BUD31,E
UBQLN2,NE
VDAC1,NE
ELF1,NE
PRPS1,NE
UTP15,E
PSMA8,NE
RSF1,NE
HTT,NE
GTF2H3,E
FKBP4,NE
UBQLN4,NE
ZNF668,NE
UBE2E2,NE
WWP1,NE
SOX3,NE
GSR,NE
TDRD1,NE
LSM2,E
DNAJB1,NE
EYA3,NE
ENOPH1,NE
RGPD2,NE
PFDN4,NE
RB1,NE
TRIM33,NE
HNRNPA0,NE
SETD3,NE
RPL32,E
TIMM10,E
BRCA2,E
GOLPH3,NE
PHF12,NE
EIF3F,E
DCLRE1A,NE
EMC8,NE
MRPL34,E
RSL24D1,E
DHX57,NE
HIF1A,NE
CEBPG,NE
CLTC,E
PRDX3,NE
USP43,NE
ACTL6B,NE
TLE3,NE
STRAP,E
RPL7A,E
SSR1,NE
KDM5A,NE
MRPS14,E
PPP6R1,NE
E2F4,NE
AFG3L2,E
PPIE,E
AQR,E
PPTC7,NE
ANP32E,NE
ANKRD39,NE
PIAS2,NE
CDKN1B,NE
ATAD1,NE
BYSL,E
PPAT,E
PIWIL1,NE
BAZ2B,NE
UBE2D2,NE
FOXH1,NE
GSK3B,NE
WDR37,NE
DRG1,NE
UBE2D4,NE
PHB1,E
UVSSA,NE
TFIP11,E
TXNL4A,E
MEF2D,NE
INTS11,E
PRMT8,NE
MYF5,NE
IMPDH1,NE
MYH10,NE
YWHAZ,NE
IFT25,NE
CARM1,NE
SF3B3,E
ZNFX1,NE
TEP1,NE
H2BC1,NE
UTP14C,NE
BRWD3,NE
LONRF2,NE
PFDN2,E
RING1,NE
DLAT,NE
ERBB2,NE
PSMB6,E
RPS12,E
AURKB,E
FBXO7,NE
CHEK2,NE
MAZ,NE
NUDT5,NE
PEBP1,NE
NOC4L,E
HERC2,NE
POC1A,NE
COP1,NE
PTCD3,E
RXRA,NE
PUS7,NE
SGTA,NE
PABPC1L,NE
SOX21,NE
HDLBP,NE
ACO2,E
NME3,NE
HDGF,NE
TSPYL2,NE
MACROH2A1,NE
HRAS,NE
RPL7L1,E
COPE,E
PABPC1L2A,NE
PUS1,NE
EIF2AK1,NE
PPP6R2,NE
WWP2,NE
TFRC,E
PIK3C2B,NE
MTHFD1,E
DHX40,NE
MYCN,NE
NDC80,E
TPM1,NE
MRPS25,E
NBR1,NE
TPD52L2,NE
ZNF593,NE
MRPL39,E
MCAT,NE
TTC27,E
PI4KB,E
TUBGCP6,E
TUBB2A,NE
YARS2,E
SETD7,NE
POP4,E
STAT3,NE
EHMT2,NE
CDKN2C,NE
SRF,E
XPA,NE
CTPS2,NE
DNMT3A,NE
H6PD,NE
UBE2E3,NE
ARFGEF2,NE
BAG2,NE
TOX2,NE
MAPK13,NE
CSNK2B,E
SPG7,NE
ISG20L2,E
LRIG2,NE
MYEF2,NE
UMPS,E
BICC1,NE
ZNF569,NE
AEN,NE
MRPS35,E
CCNA2,E
RPL37,E
NDE1,NE
RFX1,NE
ASCC1,NE
ARL8B,NE
LIN28A,NE
SEC61A2,NE
RLIM,NE
TBK1,NE
SMCHD1,NE
WDFY1,NE
PRDM14,NE
CREB1,NE
NFKB1,NE
ZNF335,E
RNF111,NE
KLC1,NE
KRI1,E
FOXD3,NE
EARS2,E
ITCH,NE
CDC14B,NE
ANKRD26,NE
WDR75,E
PPARD,NE
PPP1CB,E
NAIP,NE
CASP2,NE
TUBB1,NE
MED22,E
BRMS1L,NE
MYF6,NE
NANOG,NE
ZNF711,NE
TOMM34,NE
ACTA2,NE
DDB2,NE
ATP6V0C,E
MACROH2A2,NE
ADA,NE
ANKS3,NE
ASB1,NE
LARS2,E
SEC24A,NE
BRAT1,NE
ARL2,E
CDK18,NE
NRAS,NE
PBK,NE
MIB1,NE
IMPA2,NE
PPIA,NE
RNF44,NE
DUSP11,NE
MLH1,NE
IPO8,NE
LDHA,NE
PDCD4,NE
NSUN6,NE
MRPS22,E
ATP5F1A,E
PHF14,NE
CLASRP,E
HSPA1L,NE
TTK,E
DMTF1,NE
ZNF367,NE
CDC42BPB,NE
SOX11,NE
BOLA2B,NE
CAPZA1,NE
YBX2,NE
HSPA1A,NE
CHD5,NE
METAP1D,NE
USP40,NE
HMMR,NE
ZFP42,NE
RPTOR,E
KIF3C,NE
PSMB4,E
CHORDC1,E
CLUH,NE
LBR,NE
CMSS1,NE
GPN1,E
LRPPRC,E
RAD9B,NE
NUF2,E
WT1,NE
UBE2D3,NE
KIF24,NE
RCL1,E
TARS2,E
ARF4,NE
NOL8,E
VPS26A,NE
CDKN2B,NE
SND1,NE
ARID5B,NE
CDH1,NE
CAVIN1,NE
DHX32,NE
POLR3E,E
RTF2,E
TEX10,E
FKBP1B,NE
TBCD,E
POLQ,NE
AIRE,NE
DMRT2,NE
RBBP6,E
WDFY2,NE
TUT1,E
NDUFS6,NE
NOL12,E
TRIM25,NE
SPAG1,NE
ATP2A2,E
MRTFA,NE
USP47,NE
GEN1,NE
PML,NE
DOHH,E
CDC14A,NE
PRPSAP2,NE
THOP1,NE
MTA1,NE
THOC7,E
HELZ,NE
SPC25,E
PSMC3IP,NE
NEK6,NE
RECQL,NE
TTI1,E
TXNDC12,NE
ROCK2,NE
SNRNP27,E
CDA,NE
ZC3HAV1,NE
R3HDM1,NE
NR3C1,NE
ZNF281,NE
SOX17,NE
USP45,NE
CYB5A,NE
PIH1D1,NE
HINT1,NE
RPN2,E
FOXE1,NE
PSMD10,NE
CCNJL,NE
KANK2,NE
WDR7,E
SMAD1,NE
ARL17B,NE
ETS2,NE
NDUFAB1,E
ZBTB10,NE
KIFC3,NE
WSB1,NE
H2AC7,NE
NFS1,E
KLC3,NE
AGGF1,NE
USP24,NE
MIB2,NE
SOX2,NE
TKTL1,NE
YWHAH,NE
PPID,NE
APTX,NE
OGG1,NE
FOXL2,NE
IP6K2,NE
NEDD4L,NE
ATP7B,NE
MXD3,NE
MAPK9,NE
ABCF3,NE
ANKHD1,NE
LTN1,NE
TRMU,NE
H2BC26,NE
BARX1,NE
PPP2R5A,NE
RNASEL,NE
HARS2,E
GZF1,NE
NEIL3,NE
SOX4,NE
MUTYH,NE
RABGGTB,E
NPHP3,NE
SEC13,E
ZMIZ2,NE
XRCC4,NE
QARS1,E
E2F7,NE
NFKB2,NE
DRAP1,NE
PRKAR1A,NE
IBTK,NE
PRPSAP1,NE
NDEL1,NE
USP18,NE
STUB1,NE
RARS2,E
EZH1,NE
RANBP10,NE
AHSA1,NE
DCK,NE
NPM2,NE
TXNL4B,NE
QRSL1,E
HSPA13,NE
PPARGC1A,NE
MAP2K2,NE
STAMBP,NE
RTCA,NE
HMG20A,NE
ING4,NE
TSPYL6,NE
DAZL,NE
TMEM70,NE
BRD7,NE
MTDH,NE
DCAF10,NE
FARS2,E
ATOX1,NE
POLD3,E
H2BW2,NE
TBX1,NE
PRMT6,NE
AR,NE
CDYL2,NE
EXOSC2,E
MCRS1,E
CAPZB,E
VSX2,NE
RBM8A,E
RPA4,NE
GADD45A,NE
H2AC1,NE
EEF1E1,NE
UBE2D1,NE
CTBP2,NE
TUBA3E,NE
OLA1,NE
MSH6,NE
RPL18,E
EGR1,NE
PHF8,NE
SPAST,NE
DUS3L,NE
POLN,NE
AMBRA1,NE
STMN1,NE
DNAJB4,NE
TBX3,NE
ARID3B,NE
POLR3C,E
TARBP1,NE
ZNF384,NE
ANKRD44,NE
RB1CC1,NE
DDX43,NE
MINK1,NE
MED12L,NE
SLC25A5,NE
USP13,NE
ASB13,NE
WDTC1,NE
HLTF,NE
ECHS1,NE
NRDE2,E
MAP1LC3B,NE
EEF2K,NE
TUBA4A,NE
DDT,NE
ILKAP,NE
ZAP70,NE
LGR5,NE
ABL2,NE
PRMT7,NE
WDR43,E
BBS4,NE
ZNF184,NE
TCHP,NE
AK4,NE
PFAS,E
AICDA,NE
H1-0,NE
PARK7,NE
USP19,NE
DNAJC5,NE
MIF,NE
RABL2B,NE
NAP1L3,NE
TUBA3D,NE
MSH2,NE
FEM1A,NE
NABP1,NE
EZR,NE
ZFP2,NE
GMEB1,NE
GRPEL2,NE
NFX1,NE
SH3PXD2A,NE
WNT1,NE
TIMM8A,NE
NME4,NE
DNAJC1,NE
SEC24B,NE
RNF7,NE
CYTH3,NE
RBM24,NE
OFD1,NE
ISYNA1,NE
ELAVL2,NE
CBL,NE
PDCD10,NE
GATA5,NE
ZCCHC7,NE
ZNF541,NE
DYRK1B,NE
ZSCAN10,NE
CCNI,NE
PARP2,NE
RBM38,NE
PDF,NE
ZBTB4,NE
PEX7,NE
VDAC2,NE
HLCS,NE
TPI1,E
NKAP,E
FBXO32,NE
EIF2A,NE
DHFR2,NE
XIAP,NE
GCH1,NE
UBP1,NE
ECSIT,NE
RIGI,NE
TLE1,NE
CDK14,NE
POM121,NE
FAN1,NE
TBL2,NE
WDR31,NE
PHGDH,NE
UTP20,E
ZNF292,NE
TIMM10B,NE
DOCK4,NE
NME1,NE
EIF4EBP1,NE
CASP9,NE
MEIOB,NE
DYRK2,NE
ERCC6L2,NE
LIN28B,NE
KIF3A,NE
ECT2,E
BCL2L11,NE
TLE2,NE
EML3,NE
GK5,NE
NIF3L1,NE
SIRT3,NE
TET3,NE
SEC11C,NE
ACTL7B,NE
HSF2,NE
CRB2,NE
PDE12,NE
PFKL,NE
NOTCH2,NE
MFN1,NE
PHB2,E
TENT2,NE
SENP2,NE
IP6K1,NE
SENP1,NE
RBM23,NE
DCLRE1C,NE
EML1,NE
SRPK2,NE
BMP2,NE
LGR4,NE
RRBP1,NE
UBE2M,E
SOX9,NE
H4C8,NE
MUS81,NE
ZNF34,NE
KDM5B,NE
USP44,NE
TBCB,E
SMAP1,NE
GTF3C2,E
MRPL17,E
NUP35,NE
SCLY,NE
TOX3,NE
SHPRH,NE
SIRT4,NE
SHMT1,NE
LENG8,E
ZNF276,NE
ACO1,NE
MSL3,NE
ENO3,NE
GATAD2B,NE
ZNF273,NE
ZBTB18,NE
MYOG,NE
KNSTRN,NE
MED21,E
PDHX,NE
DNAJB13,NE
GORASP2,NE
RAI1,NE
ZNF239,NE
RCBTB1,NE
ANKFY1,NE
RRAGD,NE
DDX60L,NE
ERCC6,NE
FOXO3,NE
SOX7,NE
CNOT8,NE
PURA,NE
PYCR3,NE
PRDM13,NE
CNOT6,NE
LATS1,NE
HEXIM2,NE
GAPDH,E
SIL1,NE
RCN2,NE
TFDP3,NE
ATF2,NE
CBX6,NE
PDHB,NE
UBE4A,NE
GLIS2,NE
RBM7,NE
HINFP,E
DNAL4,NE
ZNF263,NE
TSEN2,E
CBX4,NE
KIF25,NE
TSPYL4,NE
TTBK2,NE
RPUSD2,NE
ZBTB16,NE
SMAD9,NE
ZKSCAN3,NE
PRDX4,NE
MOB1A,NE
BUD23,E
HARS1,E
LARP1B,NE
SIRT7,NE
SUN1,NE
CSNK1G2,NE
GSPT2,NE
MYNN,NE
ANKRD27,NE
CANX,NE
FOXA1,NE
ETFA,NE
SLC25A6,NE
REL,NE
PRKAR2B,NE
KLF4,NE
AHCYL2,NE
PCGF6,NE
NLK,NE
TAL1,NE
CLIP1,NE
HDAC6,NE
SEC11A,NE
DCAKD,NE
CSTF2T,NE
WIPI1,NE
SMAD2,NE
PCMT1,NE
SMARCD3,NE
FBXL9P,NE
