,Feature,Importance
2866,Serine protease inhibitor complex,0.000858974358974359
1155,Focal adhesion,0.000858974358974359
2079,NADH dehydrogenase complex,0.0008461538461538461
1262,GO:0000803,0.0008461538461538461
2568,"preribosome, small subunit precursor",0.0008461538461538461
552,Ciliary pocket collar,0.0008461538461538461
2791,RPAP3/R2TP/prefoldin-like complex,0.0008461538461538461
639,Condensed chromosome,0.0008461538461538461
2122,NF-kappaB complex,0.0008333333333333334
2256,Organelle inner membrane,0.0008333333333333334
2634,Protein kinase complex,0.0008333333333333334
658,COPI vesicle coat,0.0008333333333333334
2718,RES complex,0.0008333333333333334
3291,Vesicle tethering complex,0.0008333333333333334
3164,Translocon complex,0.0008205128205128206
1985,Mitotic spindle microtubule,0.0008205128205128206
957,Endonuclease complex,0.0008205128205128206
959,Endopeptidase complex,0.0008205128205128206
2560,pre-replicative complex,0.0008205128205128206
344,Box H/ACA snoRNP complex,0.0008076923076923077
2150,Nrd1 complex,0.0008076923076923077
518,CHRAC,0.0007948717948717948
2609,Proteasome regulatory particle,0.0007948717948717948
1946,Mitochondrial membrane,0.0007948717948717948
890,dolichol-phosphate-mannose synthase complex,0.000782051282051282
489,Chloroplast,0.000782051282051282
2277,Outer membrane,0.000782051282051282
642,Condensin complex,0.000782051282051282
2763,RISC complex,0.000782051282051282
2985,Spliceosomal tri-snRNP complex,0.0007692307692307691
1264,GO:0000806,0.0007692307692307691
2235,NURF complex,0.0007692307692307691
2749,Ribonuclease P complex,0.0007692307692307691
756,Cytoplasmic ribonucleoprotein granule,0.0007692307692307691
1496,Integral component of Golgi membrane,0.0007692307692307691
1431,Hyphal tip,0.0007692307692307691
2225,nucleotide-activated protein kinase complex,0.0007564102564102564
395,Catalytic step 2 spliceosome,0.0007564102564102564
1567,interleukin-23 complex,0.0007564102564102564
2085,NatB complex,0.0007435897435897436
54,Acetyltransferase complex,0.0007435897435897436
677,CORVET complex,0.0007435897435897436
3226,U2 snRNP,0.0007435897435897436
3311,XPC complex,0.0007435897435897436
697,cullin-RING ubiquitin ligase complex,0.0007307692307692308
2871,serine/threonine protein kinase complex,0.0007307692307692308
2602,Protease inhibitor complex,0.0007307692307692308
2639,Protein phosphatase type 2A complex,0.0007179487179487179
2689,Rab-protein geranylgeranyltransferase complex,0.0007179487179487179
732,cyclin-dependent protein kinase holoenzyme complex,0.0007179487179487179
2895,"Signal recognition particle, endoplasmic reticulum targeting",0.0007179487179487179
965,Endoplasmic reticulum membrane,0.0007051282051282052
2337,Perinucleolar compartment,0.0007051282051282052
2201,Nuclear speck,0.0007051282051282052
2206,Nucleoid,0.0007051282051282052
433,Cell projection,0.0007051282051282052
3236,U4/U6 snRNP,0.0006923076923076924
1002,ER membrane insertion complex,0.0006923076923076924
496,Chloroplast membrane,0.0006923076923076924
309,BAT3 complex,0.0006794871794871795
2557,PRC1 complex,0.0006794871794871795
472,Centrosome,0.0006794871794871795
2140,non-membrane-bounded organelle,0.0006794871794871795
436,Cell surface,0.0006794871794871795
3149,Transcription elongation factor complex,0.0006794871794871795
2361,Phagophore assembly site,0.0006794871794871795
1859,Messenger ribonucleoprotein complex,0.0006794871794871795
1658,ISWI-type complex,0.0006666666666666666
3167,Transmembrane transporter complex,0.0006666666666666666
845,Dinoflagellate epicone,0.0006666666666666666
1479,Ino80 complex,0.0006666666666666666
2285,P-body,0.0006666666666666666
1918,Mismatch repair complex,0.0006666666666666666
2098,Neurofilament,0.0006666666666666666
3128,TIM22 mitochondrial import inner membrane insertion complex,0.0006538461538461538
2002,Motile cilium,0.0006538461538461538
200,Apicoplast,0.0006538461538461538
359,bub1-bub3 complex,0.0006538461538461538
2792,RPB4-RPB7 complex,0.0006538461538461538
539,"chromosome, telomeric repeat region",0.0006538461538461538
967,Endoplasmic reticulum protein-containing complex,0.0006538461538461538
2919,small-subunit processome,0.0006538461538461538
1861,Metaphase plate,0.0006538461538461538
2892,Signal recognition particle,0.0006538461538461538
2055,Myosin complex,0.000641025641025641
2405,Phragmoplast,0.000641025641025641
2917,Small ribosomal subunit,0.000641025641025641
2142,Nonhomologous end joining complex,0.000641025641025641
2790,Rough endoplasmic reticulum membrane,0.000641025641025641
2488,PML body,0.000641025641025641
488,Chloride channel complex,0.000641025641025641
3267,Vacuolar membrane,0.000641025641025641
599,Coated vesicle,0.000641025641025641
2945,Spanning component of plasma membrane,0.0006282051282051282
538,"chromosome, telomeric region",0.0006282051282051282
498,Chloroplast outer membrane,0.0006282051282051282
1991,MLL1 complex,0.0006282051282051282
1110,FACT complex,0.0006282051282051282
202,Apoplast,0.0006282051282051282
1062,Extracellular exosome complex,0.0006153846153846154
85,Activin complex,0.0006153846153846154
661,COPI-coated vesicle membrane,0.0006153846153846154
879,DNA-dependent protein kinase complex,0.0006153846153846154
3247,Ubiquinone biosynthesis complex,0.0006153846153846154
1464,Inclusion body,0.0006153846153846154
2779,RNAi effector complex,0.0006025641025641026
3145,trans-Golgi network membrane,0.0006025641025641026
303,Basement membrane,0.0006025641025641026
2251,Organellar ribosome,0.0006025641025641026
2084,NatA complex,0.0006025641025641026
657,COP9 signalosome,0.0006025641025641026
2432,Plasma membrane bounded cell projection cytoplasm,0.0006025641025641026
3225,U12-type spliceosomal complex,0.0006025641025641026
2883,Shelterin complex,0.0006025641025641026
1214,GINS complex,0.0006025641025641026
1600,Intraciliary transport particle B,0.0006025641025641026
2367,Phosphatase complex,0.0006025641025641026
909,Dynein complex,0.0006025641025641026
1324,Golgi lumen,0.0006025641025641026
3272,Vacuole,0.0006025641025641026
2283,Oxoglutarate dehydrogenase complex,0.0006025641025641026
998,Epsilon DNA polymerase complex,0.0006025641025641026
2559,pre-primosome complex,0.0005897435897435897
3038,SUMO ligase complex,0.0005897435897435897
2844,Secretory granule,0.0005897435897435897
2941,Somatodendritic compartment,0.0005897435897435897
1480,INO80-type complex,0.0005897435897435897
346,Brahma complex,0.0005897435897435897
1673,Kinetochore,0.0005897435897435897
1405,Histone methyltransferase complex,0.0005897435897435897
394,Catalytic step 1 spliceosome,0.0005897435897435897
1438,IgA immunoglobulin complex,0.000576923076923077
703,Cvt complex,0.000576923076923077
1976,Mitotic checkpoint complex,0.000576923076923077
1917,Mis6-Sim4 complex,0.000576923076923077
2837,Sec61 translocon complex,0.000576923076923077
951,Endodeoxyribonuclease complex,0.000576923076923077
210,Aryl hydrocarbon receptor complex,0.000576923076923077
2576,Presynaptic cytoskeleton,0.000576923076923077
398,Cation channel complex,0.000576923076923077
974,Endoplasmic reticulum-Golgi intermediate compartment,0.000576923076923077
902,DSIF complex,0.000576923076923077
2152,NSL complex,0.0005641025641025641
437,Cell surface furrow,0.0005641025641025641
1642,Ion channel complex,0.0005641025641025641
534,Chromosome passenger complex,0.0005641025641025641
1227,Glutamate synthase complex,0.0005641025641025641
2280,Outer mitochondrial membrane protein complex,0.0005641025641025641
3234,U2AF complex,0.0005641025641025641
207,archaeal-type flagellum,0.0005512820512820512
2717,Replisome,0.0005512820512820512
1528,Integrin alpha5-beta1 complex,0.0005512820512820512
1808,Mannosyltransferase complex,0.0005512820512820512
945,EmrE multidrug transporter complex,0.0005512820512820512
2976,Spindle pole body,0.0005512820512820512
2104,Neuron projection cytoplasm,0.0005512820512820512
2614,Protein acetyltransferase complex,0.0005512820512820512
3108,Terminal loop,0.0005384615384615384
2811,SAGA-type complex,0.0005384615384615384
2627,Protein complex involved in cell adhesion,0.0005384615384615384
600,Coated vesicle membrane,0.0005384615384615384
2091,NELF complex,0.0005384615384615384
250,Axon initial segment,0.0005384615384615384
2226,nucleotide-excision repair complex,0.0005256410256410256
2785,Root hair,0.0005256410256410256
2008,Mre11 complex,0.0005256410256410256
211,ASAP complex,0.0005256410256410256
980,Endosome,0.0005256410256410256
1922,Mitochondrial chromosome,0.0005256410256410256
948,Endocytic vesicle,0.0005256410256410256
3249,Ubiquitin conjugating enzyme complex,0.0005256410256410256
1681,L-cysteine desulfurase complex,0.0005128205128205128
381,carbamoyl-phosphate synthase complex,0.0005128205128205128
3039,SUMO-targeted ubiquitin ligase complex,0.0005128205128205128
776,Cytoplasmic vesicle membrane,0.0005128205128205128
265,B cell receptor complex,0.0005128205128205128
660,COPI-coated vesicle,0.0005128205128205128
1378,Hedgehog signaling complex,0.0005
2183,Nuclear outer membrane-endoplasmic reticulum membrane network,0.0005
807,Dendrite,0.0005
1221,Glucose transporter complex,0.0005
42,9+0 non-motile cilium,0.0005
2260,Organelle outer membrane,0.0005
1854,membrane-enclosed lumen,0.0005
1113,Fanconi anaemia nuclear complex,0.0005
261,Axoneme,0.0005
2716,Replication inhibiting complex,0.0005
2875,Set1C/COMPASS complex,0.0005
1366,H3 histone acetyltransferase complex,0.0005
2876,Set3 complex,0.0005
558,Ciliary transition zone,0.00048717948717948715
2752,ribonucleoside-diphosphate reductase complex,0.00048717948717948715
3105,Terminal bouton,0.00048717948717948715
2302,PAS complex,0.00048717948717948715
790,Cytosolic small ribosomal subunit,0.00048717948717948715
835,Derlin-1 retrotranslocation complex,0.00048717948717948715
774,Cytoplasmic vesicle,0.00048717948717948715
1935,Mitochondrial inner membrane,0.00048717948717948715
2849,Seh1-associated complex,0.00048717948717948715
2860,Septin complex,0.00048717948717948715
388,Cargo receptor complex,0.00048717948717948715
2906,Ski complex,0.0004743589743589744
605,Cohesin complex,0.0004743589743589744
1398,HIR complex,0.0004743589743589744
2162,Nuclear dicing body,0.0004743589743589744
1811,Mating projection,0.0004743589743589744
1551,Interferon regulatory factor 3 complex,0.0004743589743589744
1599,Intraciliary transport particle A,0.0004743589743589744
510,Chloroplast thylakoid membrane,0.0004743589743589744
408,CCR4-NOT complex,0.0004743589743589744
2797,RSC-type complex,0.0004743589743589744
217,Aster,0.0004743589743589744
796,Dbf4-dependent protein kinase complex,0.0004743589743589744
1937,Mitochondrial inner membrane peptidase complex,0.00046153846153846153
418,Cell body,0.00046153846153846153
3169,Transport vesicle,0.00046153846153846153
2289,Palmitoyltransferase complex,0.00046153846153846153
872,DNA replication factor C complex,0.00046153846153846153
310,BAX complex,0.00046153846153846153
2767,RNA cap binding complex,0.00046153846153846153
2175,Nuclear matrix,0.00046153846153846153
350,BRCA1-C complex,0.00046153846153846153
1015,ESCRT complex,0.00046153846153846153
3188,tRNA methyltransferase complex,0.00046153846153846153
228,ATP-binding cassette (ABC) transporter complex,0.00044871794871794877
970,Endoplasmic reticulum subcompartment,0.00044871794871794877
2633,Protein kinase CK2 complex,0.00044871794871794877
3030,succinate-CoA ligase complex,0.00044871794871794877
3273,vacuole-isolation membrane contact site,0.00044871794871794877
191,Apical part of cell,0.00044871794871794877
1330,Golgi trans cisterna,0.00044871794871794877
470,Centriole,0.00044871794871794877
2597,Pronucleus,0.00044871794871794877
2278,Outer membrane protein complex,0.00044871794871794877
2816,Sarcoplasm,0.0004358974358974359
963,Endoplasmic reticulum exit site,0.0004358974358974359
3132,Toc complex,0.0004358974358974359
1949,Mitochondrial outer membrane,0.0004358974358974359
1582,Internode region of axon,0.0004358974358974359
1829,Mediator complex,0.0004358974358974359
1198,GCH1 complex,0.0004358974358974359
3125,Thylakoid membrane,0.0004358974358974359
1067,Extracellular membrane-bounded organelle,0.0004358974358974359
3118,THO complex,0.0004358974358974359
367,CAF-1 complex,0.0004358974358974359
540,Chylomicron,0.0004358974358974359
2176,Nuclear membrane,0.0004358974358974359
3138,TORC1 complex,0.00042307692307692304
246,Axon,0.00042307692307692304
932,Egg coat,0.00042307692307692304
2920,SMC loading complex,0.00042307692307692304
1135,Fibrillar center,0.00042307692307692304
443,cell-cell contact zone,0.00042307692307692304
1788,MAD1 complex,0.00042307692307692304
1790,magnesium-dependent protein serine/threonine phosphatase comple,0.00042307692307692304
2304,PcG protein complex,0.00042307692307692304
1052,Exoribonuclease complex,0.00042307692307692304
942,Elongin complex,0.00042307692307692304
1400,Histone acetyltransferase complex,0.00042307692307692304
1650,iron-sulfur cluster transfer complex,0.00042307692307692304
2250,Organellar large ribosomal subunit,0.00042307692307692304
667,Cornified envelope,0.00042307692307692304
1205,Germ plasm,0.00042307692307692304
2346,Peroxisomal importomer complex,0.00042307692307692304
80,actin-based cell projection,0.00042307692307692304
1598,Intraciliary transport particle,0.0004102564102564103
2640,Protein serine/threonine phosphatase complex,0.0004102564102564103
3290,Vesicle membrane,0.0004102564102564103
3122,Thylakoid,0.0004102564102564103
1775,Lysosome,0.0004102564102564103
1623,Intrinsic component of organelle membrane,0.0004102564102564103
321,beta-N-acetylhexosaminidase complex,0.0004102564102564103
142,Amylin receptor complex 2,0.0004102564102564103
3041,Super elongation complex,0.0004102564102564103
1746,Lipid droplet,0.0004102564102564103
1909,Midbody,0.0004102564102564103
550,Ciliary plasm,0.0004102564102564103
457,Cellulose synthase complex,0.0004102564102564103
2086,NatC complex,0.0004102564102564103
3129,TIM23 mitochondrial import inner membrane translocase complex,0.0003974358974358974
2569,Prespliceosome,0.0003974358974358974
1319,Golgi apparatus subcompartment,0.0003974358974358974
1738,Lewy neurite,0.0003974358974358974
786,Cytosolic proteasome complex,0.0003974358974358974
1740,light-harvesting complex,0.0003974358974358974
1670,Kinesin complex,0.0003974358974358974
2900,single-stranded DNA-binding protein complex,0.0003974358974358974
2144,NoRC complex,0.0003974358974358974
2553,Potassium channel complex,0.0003974358974358974
631,COMA complex,0.0003974358974358974
1012,ERMES complex,0.0003974358974358974
2796,RQC complex,0.0003974358974358974
2342,Periplasmic space,0.0003974358974358974
1333,Golgi-associated vesicle,0.0003974358974358974
2909,SLIK (SAGA-like) complex,0.00038461538461538456
2381,Phosphomannomutase complex,0.00038461538461538456
2349,Peroxisome,0.00038461538461538456
1483,Insulin receptor complex,0.00038461538461538456
832,Dense fibrillar component,0.00038461538461538456
594,CMG complex,0.00038461538461538456
183,Apical complex,0.00038461538461538456
1508,Integral component of organelle membrane,0.00038461538461538456
687,Ctf18 RFC-like complex,0.00038461538461538456
1597,Intracellular vesicle,0.00038461538461538456
312,BBSome,0.00038461538461538456
1138,Fibrinogen complex,0.00038461538461538456
2300,Paraspeckles,0.00038461538461538456
1559,interleukin-12 complex,0.00038461538461538456
2116,Neurotransmitter receptor complex,0.00038461538461538456
2746,Ribonuclease H2 complex,0.0003717948717948718
215,Asi complex,0.0003717948717948718
3313,XY body,0.0003717948717948718
1467,Inhibin B complex,0.0003717948717948718
1263,GO:0000805,0.0003717948717948718
1180,GABA-ergic synapse,0.0003717948717948718
2097,Neurofibrillary tangle,0.0003717948717948718
434,Cell projection membrane,0.0003717948717948718
1477,Inner mitochondrial membrane protein complex,0.0003717948717948718
317,BCOR complex,0.0003717948717948718
941,Elongator holoenzyme complex,0.0003717948717948718
844,Dinoflagellate cingulum,0.0003717948717948718
525,Chromatoid body,0.0003717948717948718
1919,mitochondria-associated endoplasmic reticulum membrane,0.0003717948717948718
342,Box H/ACA RNP complex,0.0003717948717948718
2922,SMN complex,0.0003717948717948718
3162,Translation release factor complex,0.0003717948717948718
383,carboxy-terminal domain protein kinase complex,0.0003717948717948718
1838,Meiotic spindle,0.0003717948717948718
2387,Photoreceptor connecting cilium,0.0003717948717948718
1848,Membrane fusion priming complex,0.0003717948717948718
1577,interleukin-9 receptor complex,0.00035897435897435894
2804,RZZ complex,0.00035897435897435894
3256,UFD1-NPL4 complex,0.00035897435897435894
593,Cluster of actin-based cell projections,0.00035897435897435894
2638,Protein phosphatase type 1 complex,0.00035897435897435894
2043,MutS complex,0.00035897435897435894
2196,Nuclear replication fork,0.00035897435897435894
2629,Protein complex involved in cell-matrix adhesion,0.00035897435897435894
547,Ciliary membrane,0.00035897435897435894
1117,Fatty acid elongase complex,0.00035897435897435894
2715,Replication fork protection complex,0.00035897435897435894
1722,Leading edge membrane,0.00035897435897435894
1028,Euchromatin,0.00035897435897435894
1223,Glucosidase complex,0.00035897435897435894
2714,Replication fork,0.00035897435897435894
1924,Mitochondrial creatine kinase complex,0.00035897435897435894
1883,Microbody lumen,0.0003461538461538462
2415,Pilus,0.0003461538461538462
3244,U7 snRNP,0.0003461538461538462
1368,H4/H2A histone acetyltransferase complex,0.0003461538461538462
181,AP-type membrane coat adaptor complex,0.0003461538461538462
2433,Plasma membrane light-harvesting complex,0.0003461538461538462
201,Apolipoprotein B mRNA editing enzyme complex,0.0003461538461538462
3199,Tumor necrosis factor receptor superfamily complex,0.0003461538461538462
2294,Paraflagellar rod,0.0003461538461538462
2801,Ruffle membrane,0.0003461538461538462
3219,U1 snRNP,0.0003461538461538462
1772,Lysosomal membrane,0.0003461538461538462
2205,Nucleocytoplasmic transport complex,0.0003461538461538462
1753,low-density lipoprotein particle,0.0003461538461538462
2563,Precatalytic spliceosome,0.0003461538461538462
243,Autosome,0.0003461538461538462
370,Calcineurin complex,0.0003461538461538462
2961,Sperm head-tail coupling apparatus,0.0003333333333333333
1444,IgE immunoglobulin complex,0.0003333333333333333
2327,Perichromatin fibrils,0.0003333333333333333
2396,Photosynthetic membrane,0.0003333333333333333
840,Diamine N-acetyltransferase complex,0.0003333333333333333
3197,Tubulin folding cofactor complex,0.0003333333333333333
1717,Lateral loop,0.0003333333333333333
64,Acrosomal vesicle,0.0003333333333333333
1927,Mitochondrial degradosome,0.0003333333333333333
3179,Tricarboxylic acid cycle enzyme complex,0.0003333333333333333
691,Cul4-RING E3 ubiquitin ligase complex,0.0003333333333333333
91,Adherens junction,0.0003333333333333333
2635,Protein N-acetylglucosaminyltransferase complex,0.0003333333333333333
1226,Glutamate dehydrogenase complex,0.0003333333333333333
2184,Nuclear periphery,0.0003333333333333333
124,alphaV-beta3 integrin-EGFR complex,0.0003333333333333333
